Job.Latitude,Job.Longitude,Panel.Irradiance
-14,26,"[6405 4645 3500 3820 3905 3302 3263 3740 3702 3425 3903 4521 4965 5504
 4625 4030 3160 3320 2560]"
-16,21,"[4160 3780 4883 4287 2601 3282 3960 3447 3201 4300 3341 4228 4881 5726
 4408 4264 4101 3020 3100]"
47,30,"[10026  6628  5064  3985  3502  3525  3002  2101  2823  3361  3282  2402
  2620  3382  2623  2043  3180  2364  2543]"
31,28,"[4649 5460 2680 3822 3806 4582 2100 2900 3807 4383 4140 2701 3543 5426
 4240 2520 3285 5645 2667]"
28,20,"[4502 4624 3264 4060  940 3180 3546 4244 2240 3400 3300 4968 5242 3861
 4180 6468 3041 3262 6129]"
48,27,"[10247  8904  4747  3664  3786  4004  2682  2140  2681  3366  2521  2381
  2561  3483  2361  1922  3103  2062  2485]"
-23,26,"[5704 3865 3720 3200 3665 3381 3604 3260 3763 3663 3864 4100 4785 5125
 5065 3149 2881 3480 3080]"
43,26,"[11588  6066  4363  4121  3748  3581  2986  2900  3043  3282  2422  2522
  3401  3125  2042  2261  2825  2161  2383]"
-13,22,"[4580 3920 5484 3946 2760 3421 3701 3705 3323 4522 3761 4067 4840 5765
 4667 4208 3540 2640 2700]"
-21,24,"[3500 3960 4845 3121 3365 3160 3985 3241 3566 4081 3143 3821 5466 5703
 4385 3687 3661 3520 2820]"
-23,28,"[5668 4942 3000 4000 3960 3890 3180 4180 3560 2990 4800 3560 4849 5101
 4365 3850 2760 2740 3480]"
19,22,"[2961 4805 3824 2420 1921 2805 4920 2705 2441 2021 3564 5102 3585 1940
 4161 7282 4845 5541 6165]"
-7,28,"[8542 5048 3980 3182 4422 3566 2920 3980 4202 3208 4260 3841 4929 5501
 4211 3463 2820 2520 1600]"
28,25,"[4127 2900 4140 2661 4064 2465 3460 3360 3443 3465 3842 4040 4200 5705
 5145 3740 3823 5007 3700]"
48,27,"[10247  8904  4747  3664  3786  4004  2682  2140  2681  3366  2521  2381
  2561  3483  2361  1922  3103  2062  2485]"
56,27,"[11584  7907  6247  3446  3483  3725  2741  2581  2384  2488  2722  1840
  1944  1941  1561  1622  1580  1140  1022]"
32,22,"[4520 4104 4281 4485 3280 2780 3585 4020 3485 2501 2884 4720 5345 3580
 3964 5161 3165 2824 5226]"
-5,24,"[6843 5342 4926 4303 3683 4300 5025 3304 3261 4524 4123 4542 4824 4466
 3583 3401 2220 1700 1280]"
50,28,"[11490  8266  4682  3666  3567  3742  2681  2323  2742  3164  2662  2081
  2463  2802  1783  1841  2641  2142  2002]"
47,23,"[11251  9030  6044  5087  4003  3104  3344  2681  2982  1840  2681  3241
  2422  2261  2481  1961  2184  2360  1621]"
23,27,"[3923 2682 1742 4301 4104 3381 1600 2000 4020 4509 3421 3320 3461 6188
 6541 3380 4122 6187 3082]"
17,20,"[3941 4829 2760 2381 1760 3541 4908 1500 2861 2521 3922 4566 2800 2662
 4500 5867 4041 7762 6487]"
20,28,"[5384 1780 2140 3084 5105 2900 1620 1980 3744 6206 1700 1621 3903 6744
 3422 4540 6322 6128 4541]"
-3,20,"[7043 5045 5803 3863 3461 4241 4443 3845 3601 4261 3667 4801 4902 4248
 3385 2680 1880 2000 1580]"
-12,30,"[6185 5005 2820 3020 4242 3463 3284 3521 3701 3425 4164 5041 4645 5804
 4643 4350 3481 3540 2740]"
-4,26,"[8104 6045 4803 4400 4103 4265 3681 3840 3706 4325 4543 4426 4345 4283
 2864 2781 2540 1860 1680]"
-29,28,"[5361 3720 5400 3570 3760 4120 3740 5030 3381 5320 4309 5001 3293 2681
 3060 2900 2200 2440 2600]"
18,29,"[4360 1981 2280 4326 4023 2220 1660 2240 5565 3325 2400 1980 3663 5842
 3505 3120 8264 5606 6421]"
11,24,"[6021 3864 2981 2804 2960 4024 2622 2761 3545 2462 3861 3022 4144 2862
 3483 6502 4587 4567 6763]"
-11,28,"[6681 4909 3820 3461 4722 3287 2960 3560 4082 3209 4340 4702 4688 6123
 4445 3526 2900 3200 2280]"
-23,21,"[3220 4540 4641 3949 2380 3480 3780 3150 3540 4060 3080 4470 4740 6043
 4187 3730 3360 3060 2860]"
-20,20,"[3420 3580 4503 3727 2940 3200 3881 3550 3401 4400 3440 3728 5340 5861
 4369 3950 3800 3020 3120]"
49,30,"[10788  8244  5147  3666  3743  3483  3085  2241  2802  2802  2482  2443
  2224  2962  2545  1960  3080  2323  2000]"
25,25,"[3865 2520 3340 3223 4183 2865 2800 3220 3723 3623 3823 3940 3381 5904
 5265 4382 4002 4627 3920]"
-29,20,"[5500 3709 3401 4340 4001 4150 3941 3140 5029 6180 4485 3605 3529 4140
 2900 2880 3120 3200 2520]"
13,27,"[2580 4042 3985 4723 1720 1081 4401 4668 3181 1940 1703 4881 4506 2600
 3022 6448 4641 7025 6467]"
52,29,"[10789  8046  4743  3461  3944  4204  2722  2482  2304  3303  2882  2280
  1961  2564  2181  1843  2141  1923  1605]"
15,21,"[5005 4845 1040 3120 2621 5727 2542  940 2980 3260 4909 2882 1860 4460
 4728 4261 5681 6669 8223]"
18,22,"[3860 3645 3245 2660 2280 2924 4141 2945 2300 2002 4203 4622 3044 2101
 4481 6666 4063 6744 6603]"
-20,20,"[3420 3580 4503 3727 2940 3200 3881 3550 3401 4400 3440 3728 5340 5861
 4369 3950 3800 3020 3120]"
1,29,"[7167 6548 3300 3622 4700 3204 3023 3800 3861 3604 3786 4040 4446 4703
 3405 2883 2840 2820 1940]"
-31,23,"[5105 4106 4720 3743 4185 5063 3841 4604 5206 4924 4187 3146 3440 3340
 3260 2460 2880 2900 2300]"
-4,27,"[8148 6045 4560 4103 4784 3683 3200 4160 3584 3804 4862 4765 4925 4362
 3107 2622 1880 2040 1620]"
-21,22,"[3220 4460 4385 3905 2780 3580 3780 3250 3000 4400 3384 3606 4520 6425
 4305 3870 3720 2840 3120]"
-6,23,"[6963 5144 5264 4183 3282 4402 4221 3384 3560 4464 3786 5284 5183 4927
 3404 3001 2260 1920 1400]"
24,24,"[3023 3242 4220 2505 3321 2683 3101 3640 3844 2684 3843 4383 3923 5084
 5202 5701 3884 4124 4540]"
-5,23,"[6365 4864 5407 4002 3362 4421 4565 3404 4060 4481 3803 5044 4783 4245
 3764 3101 2520 2000 1420]"
-25,29,"[5430 4260 3440 4340 3506 2804 4660 3300 3486 4084 4060 5764 4786 4061
 3853 3441 2460 2780 3420]"
9,24,"[6884 3886 3061 3464 3183 3642 2503 2581 3583 2901 3044 3860 3043 3722
 3342 6042 4806 3605 5600]"
16,21,"[3984 5166 1600 3522 2400 4427 3682 1200 3100 2602 5206 3022 2501 3460
 4885 4644 4441 8005 8064]"
9,30,"[4844 4604 5565 3582 2181 2727 3683 4123 3141 2783 2882 3781 3965 4101
 3164 4124 5203 3782 4660]"
56,26,"[10667  8005  5667  3643  3986  3303  2803  2322  2482  2806  2202  1704
  1740  2244  1880  1520  1642  1161  1081]"
3,22,"[9009 3665 4141 4784 4084 3180 4242 3143 3023 3302 3822 3863 4044 3842
 4663 3803 2582 2840 2660]"
30,26,"[4489 4501 4000 2841 2925 3603 3140 2820 3040 3990 4680 3240 4220 5810
 4460 3040 4186 4464 3621]"
0,23,"[8804 5704 5006 4701 3600 4262 4284 3225 3442 3886 3744 4426 4081 3365
 3200 2922 2240 1780 1860]"
-13,20,"[6700 4540 5161 3769 3600 3440 4222 3508 3020 4460 3582 4048 4960 5824
 4868 3668 3180 2120 1880]"
-6,28,"[8441 5928 3522 3480 4725 3623 3120 4082 3361 3647 4422 4062 5387 5227
 4145 3181 2400 2360 1300]"
40,24,"[9646 4665 5383 3382 3442 3503 3921 3401 3064 3023 3543 3640 3484 2564
 3264 2642 2824 3442 4345]"
-26,30,"[6505 4500 5060 4143 3226 2701 4740 3522 3166 4622 4060 5528 3802 3669
 3046 3220 2420 2220 2540]"
-13,30,"[7405 5345 3180 3221 4423 3363 3785 3141 3540 3545 3845 5000 4207 5524
 4703 4088 3060 2920 2740]"
18,30,"[3023 2700 2961 4124 3264 2021 2120 2202 5623 2885 2940 1860 4424 5022
 3744 3500 7525 5925 6742]"
52,20,"[11841  7523  5793  4985  3384  3362  3405  3225  2541  2461  2441  3104
  2100  1961  2243  2445  1561  1882  1322]"
28,23,"[3180 3565 4780 2445 2560 2482 4183 3421 3764 3120 3345 4840 4643 4702
 4205 5280 3765 3445 5323]"
20,29,"[5523 1640 1740 3865 4343 3282 1660 1800 4645 5043 2302 1620 3781 6644
 3585 4480 7004 5365 4421]"
57,29,"[10766  7308  5528  3863  3546  3441  2843  2583  2442  2626  2182  2043
  1724  2141  1901  1360  1761  1040  1021]"
-29,25,"[5365 4961 4304 4100 3345 3580 4506 3723 5081 4845 5066 3924 3610 2560
 3380 2500 2940 3000 2520]"
27,30,"[4582 3143 2460 2745 4200 3705 3000 1940 3625 4240 4365 2960 3983 6682
 5144 3061 4365 5085 3342]"
-9,22,"[5920 4540 6586 4384 2840 3862 4623 3605 3040 4683 3642 4385 4562 5646
 4429 3103 2500 2020 1620]"
12,30,"[4604 3483 5382 3784 1800 2140 2623 4402 3766 1782 2541 3323 4146 3921
 3600 3325 5303 6605 5164]"
-1,30,"[7889 7104 4864 4440 5106 3722 3683 3804 4785 4343 4223 4207 3663 3581
 2880 2400 1780 1780 1660]"
9,24,"[6884 3886 3061 3464 3183 3642 2503 2581 3583 2901 3044 3860 3043 3722
 3342 6042 4806 3605 5600]"
-24,27,"[5446 4404 3780 3500 3525 3605 3400 3640 3524 3686 4780 4500 5910 4200
 4289 3466 2620 3260 3140]"
-12,24,"[5985 5220 5225 4341 2845 3741 4203 3440 3465 3721 4144 4123 4463 6006
 3965 3688 2880 2420 2120]"
-30,24,"[5865 4741 4004 4200 3946 3885 4160 3984 5706 4882 4326 3090 3561 3080
 3080 2600 2940 2900 2340]"
16,20,"[5107 5304 1541 2480 2120 4225 4064 1340 3100 3180 4907 2422 2940 3561
 4804 4706 5420 7985 7044]"
23,21,"[3201 4205 3804 3660 1240 2300 4486 4784 1680 2360 3980 4767 5063 3160
 5562 6506 3763 3183 6244]"
38,23,"[6382 4244 4681 4305 3320 3223 3782 4160 3584 2580 3565 4521 4344 3161
 3665 3320 2725 3725 3085]"
-32,24,"[5666 5104 4481 4324 5044 4361 4806 5004 4642 4326 4212 2880 2880 2780
 2820 2500 3000 2400 2080]"
7,29,"[3782 5525 5103 3262 2542 2244 4521 3443 2960 3323 2503 3625 4241 4623
 3406 4222 5344 3802 3640]"
